guest asm,,,,,,,,,,operand encoding (Intel syntax),,,,,,operand types (Intel syntax),,,,,host asm,,,,
name,opcode,vec pfx,prefix,escape,width,dst_w,tuple,mask,misc,E_class,dst_e,src1_e,src2_e,src3_e,src4_e,dst_t,src1_t,src2_t,src3_t,src4_t,asm-> IR function,IR,mult,param,IR->asm
VRNDSCALEPD,0x09,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E2,rG,rmE,imm8,,,Ity_V128,Ity_V128,Ity_I8,,,NULL,Iop_RoundScale64x8,-4,,DEFAULT
VRNDSCALEPD,0x09,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E2,rG,rmE,imm8,,,Ity_V256,Ity_V256,Ity_I8,,,NULL,Iop_RoundScale64x8,-2,,DEFAULT
VRNDSCALEPD,0x09,EVEX,PFX_66,ESC_0F3A,W1,W_64,FullVector,MASK_FULL,,E2,rG,rmE,imm8,,,Ity_V512,Ity_V512,Ity_I8,,,NULL,Iop_RoundScale64x8,1,,DEFAULT
VRNDSCALESS,0x0A,EVEX,PFX_66,ESC_0F3A,W0,W_32,Tuple1Scalar,MASK_FULL,,E3,rG,rV,rmE,imm8,,Ity_V128,Ity_V128,Ity_V128,Ity_I8,,NULL,Iop_RoundScale32F0x4,1,,DEFAULT
VRNDSCALESD,0x0B,EVEX,PFX_66,ESC_0F3A,W1,W_64,Tuple1Scalar,MASK_FULL,,E3,rG,rV,rmE,imm8,,Ity_V128,Ity_V128,Ity_V128,Ity_I8,,NULL,Iop_RoundScale64F0x2,1,,DEFAULT
VPMULHRSW,0x0B,EVEX,PFX_66,ESC_0F38,WIG,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,m_PMULHRSW,Iop_INVALID,2,,
VPMULHRSW,0x0B,EVEX,PFX_66,ESC_0F38,WIG,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,m_PMULHRSW,Iop_INVALID,4,,
VPMULHRSW,0x0B,EVEX,PFX_66,ESC_0F38,WIG,W_16,FullVectorMem,MASK_FULL,,E4nb,rG,rV,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,m_PMULHRSW,Iop_INVALID,8,,
VPERMILPS,0x0C,EVEX,PFX_66,ESC_0F38,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,m_PERMILPS_VAR,Iop_INVALID,1,,
VPERMILPS,0x0C,EVEX,PFX_66,ESC_0F38,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,m_PERMILPS_VAR,Iop_INVALID,2,,
VPERMILPS,0x0C,EVEX,PFX_66,ESC_0F38,W0,W_32,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,m_PERMILPS_VAR,Iop_INVALID,4,,
VPERMILPD,0x0D,EVEX,PFX_66,ESC_0F38,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,,,Ity_V128,Ity_V128,Ity_V128,,,m_PERMILPD_VAR,Iop_INVALID,1,,
VPERMILPD,0x0D,EVEX,PFX_66,ESC_0F38,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,,,Ity_V256,Ity_V256,Ity_V256,,,m_PERMILPD_VAR,Iop_INVALID,2,,
VPERMILPD,0x0D,EVEX,PFX_66,ESC_0F38,W1,W_64,FullVector,MASK_FULL,,E4NF,rG,rV,rmE,,,Ity_V512,Ity_V512,Ity_V512,,,m_PERMILPD_VAR,Iop_INVALID,4,,
VPALIGNR,0x0F,EVEX,PFX_66,ESC_0F3A,WIG,W_8,FullVectorMem,MASK_FULL,,E4NFnb,rG,rV,rmE,imm8,,Ity_V128,Ity_V128,Ity_V128,Ity_I8,,math_PALIGNR_XMM,Iop_INVALID,1,,
VPALIGNR,0x0F,EVEX,PFX_66,ESC_0F3A,WIG,W_8,FullVectorMem,MASK_FULL,,E4NFnb,rG,rV,rmE,imm8,,Ity_V256,Ity_V256,Ity_V256,Ity_I8,,math_PALIGNR_XMM,Iop_INVALID,2,,
VPALIGNR,0x0F,EVEX,PFX_66,ESC_0F3A,WIG,W_8,FullVectorMem,MASK_FULL,,E4NFnb,rG,rV,rmE,imm8,,Ity_V512,Ity_V512,Ity_V512,Ity_I8,,math_PALIGNR_XMM,Iop_INVALID,4,,
VMOVUPS,0x10,EVEX,PFX_NA,ESC_0F,W0,W_32,FullVectorMem,MASK_FULL,,E4nb,rG,rmE,,,,Ity_V128,Ity_V128,,,,m_Copy,Iop_INVALID,,,
VMOVUPS,0x10,EVEX,PFX_NA,ESC_0F,W0,W_32,FullVectorMem,MASK_FULL,,E4nb,rG,rmE,,,,Ity_V256,Ity_V256,,,,m_Copy,Iop_INVALID,,,
VMOVUPS,0x10,EVEX,PFX_NA,ESC_0F,W0,W_32,FullVectorMem,MASK_FULL,,E4nb,rG,rmE,,,,Ity_V512,Ity_V512,,,,m_Copy,Iop_INVALID,,,
